file_name,file_path,cloc
SpreadOfDiseaseScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\planthealth\SpreadOfDiseaseScreen.kt,0
PlantRecommendationScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\plantrecommendation\PlantRecommendationScreen.kt,0
ProfileScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\profile\ProfileScreen.kt,0
ProfileUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\profile\ProfileUiState.kt,0
ProfileViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\profile\ProfileViewModel.kt,0
WeatherForecastScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\weather_forecast\WeatherForecastScreen.kt,1
EmailVerificationScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\emailverification\EmailVerificationScreen.kt,0
EmailVerificationUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\emailverification\EmailVerificationUiState.kt,0
EmailVerificationViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\emailverification\EmailVerificationViewModel.kt,0
TimerViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\emailverification\TimerViewModel.kt,0
ForgotPasswordScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\forgotpassword\ForgotPasswordScreen.kt,0
ForgotPasswordUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\forgotpassword\ForgotPasswordUiState.kt,0
ForgotPasswordViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\forgotpassword\ForgotPasswordViewModel.kt,0
GetStarted.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\getstarted\GetStarted.kt,0
ResetPasswordScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\resetpassword\ResetPasswordScreen.kt,0
ResetPasswordUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\resetpassword\ResetPasswordUiState.kt,0
ResetPasswordViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\resetpassword\ResetPasswordViewModel.kt,0
SignInScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signin\SignInScreen.kt,0
SignInUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signin\SignInUiState.kt,0
SignInViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signin\SignInViewModel.kt,0
SignupCollectorScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\collector\SignupCollectorScreen.kt,0
SignupCollectorUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\collector\SignupCollectorUiState.kt,0
SignupCollectorViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\collector\SignupCollectorViewModel.kt,0
SignupFarmerScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\farmer\SignupFarmerScreen.kt,0
SignupFarmerUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\farmer\SignupFarmerUiState.kt,0
SignupFarmerViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\farmer\SignupFarmerViewModel.kt,0
SignupRoleChooserScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\SignupRoleChooserScreen.kt,0
SignupScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\SignupScreen.kt,0
SignupUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\SignupUiState.kt,0
SignupViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\signup\SignupViewModel.kt,0
SplashScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\splash\SplashScreen.kt,1
SplashViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\shared\splash\SplashViewModel.kt,0
CroppingPatternSelectInputImpl.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\impl\CroppingPatternSelectInputImpl.kt,0
PlantCategorySelectInputImpl.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\impl\PlantCategorySelectInputImpl.kt,0
PlantCommoditySelectInputImpl.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\impl\PlantCommoditySelectInputImpl.kt,0
ProfessionSelectInputImpl.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\ui\common\impl\ProfessionSelectInputImpl.kt,0
