nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
MUHAMMAD SYAHRIL ISKANDAR,https://sinta.kemdiktisaintek.go.id/authors/profile/6037936,Desain Komunikasi Visual (S1),6037936,2,3,35,463,35,463
ERNA SUSILAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005084,Manajemen (S1),6005084,2,4,34,421,34,421
ISKANDAR IKBAL,https://sinta.kemdiktisaintek.go.id/authors/profile/259132,Teknik Informatika (S1),259132,1,5,34,521,34,521
YUSRILA YEKA KERLOOZA,https://sinta.kemdiktisaintek.go.id/authors/profile/5987175,Sistem Informasi (S2),5987175,1,4,34,515,34,515
ADIYANA SLAMET,https://sinta.kemdiktisaintek.go.id/authors/profile/6006229,Ilmu Komunikasi (S1),6006229,0,4,33,664,33,664
RISMAWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/259267,Ilmu Komunikasi (S1),259267,0,1,33,715,33,715
RINO ADIBOWO,https://sinta.kemdiktisaintek.go.id/authors/profile/6035483,Ilmu Pemerintahan (S1),6035483,0,0,33,229,33,229
AHMAD NURZAENI FAUZI,https://sinta.kemdiktisaintek.go.id/authors/profile/6788605,Desain Grafis (D3),6788605,0,1,33,63,33,63
SUTONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258558,Sistem Komputer (S1),258558,1,0,31,418,31,418
YASMI AFRIZAL,https://sinta.kemdiktisaintek.go.id/authors/profile/6005290,Sistem Informasi (S1),6005290,1,3,30,216,30,216
AELINA SURYA,https://sinta.kemdiktisaintek.go.id/authors/profile/6711698,Ilmu Hubungan Internasional (S1),6711698,0,1,30,61,30,61
MERLINA FATIMAH NASRUDDIN,https://sinta.kemdiktisaintek.go.id/authors/profile/6183101,Desain Komunikasi Visual (S1),6183101,0,2,27,66,27,66
USEP MOHAMAD ISHAQ,https://sinta.kemdiktisaintek.go.id/authors/profile/6006007,Sistem Komputer (S1),6006007,1,4,23,322,23,322
IYAN GUSTIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/5986858,Sistem Informasi (S1),5986858,2,5,23,348,23,348
MOHAMAD DONIE AULIA,https://sinta.kemdiktisaintek.go.id/authors/profile/5998802,Teknik Sipil (S1),5998802,0,7,21,231,21,231
AYU PRATIWI ULFAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6783889,Sistem Informasi (S1),6783889,0,0,20,23,20,23
BUDI MULYANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006635,Ilmu Hubungan Internasional (S1),6006635,0,2,20,107,20,107
YUNI DAHLIA YOSEPHA MOGOT,https://sinta.kemdiktisaintek.go.id/authors/profile/6738681,Ilmu Komunikasi (S1),6738681,0,2,20,50,20,50
NINA KURNIA HIKMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803417,Sistem Informasi (S1),6803417,3,5,18,151,18,151
SURYATNO W SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6804795,Unknown,6804795,0,0,15,32,15,32
TRI RAHAJOENINGROEM,https://sinta.kemdiktisaintek.go.id/authors/profile/259224,Teknik Elektro (S1),259224,1,9,11,212,11,212
THERESIA VALENTINA LUMBAN GAOL,https://sinta.kemdiktisaintek.go.id/authors/profile/6802923,Unknown,6802923,2,4,10,203,10,203
GERALDI CATUR PAMUJI,https://sinta.kemdiktisaintek.go.id/authors/profile/6918009,Unknown,6918009,0,4,10,28,10,28
YUDISTIRA SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6802984,Sistem Informasi (S1),6802984,0,2,9,13,9,13
SAFUTRA RANTONA,https://sinta.kemdiktisaintek.go.id/authors/profile/6711079,Ilmu Komunikasi (S1),6711079,0,0,8,34,8,34
RIA FATHYA LUQMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6860170,Desain Komunikasi Visual (S1),6860170,0,1,6,17,6,17
NILUH AYU ANGGASWARI,https://sinta.kemdiktisaintek.go.id/authors/profile/6908316,Ilmu Komunikasi (S1),6908316,0,2,6,6,6,6
AHADIAT JOEDAWINATA,https://sinta.kemdiktisaintek.go.id/authors/profile/6048481,Desain (S2),6048481,0,3,2,26,2,26
FALDERIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6748057,Teknik Sipil (S1),6748057,0,0,2,35,2,35
GANJAR MIFTAHUDDIN,https://sinta.kemdiktisaintek.go.id/authors/profile/6860169,Desain Komunikasi Visual (S1),6860169,0,1,2,3,2,3
WIM TOHARI DANIEALDI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803507,Ilmu Hubungan Internasional (S1),6803507,0,1,2,11,2,11
ARIES SETIAWAN SATRIO NUGROHO,https://sinta.kemdiktisaintek.go.id/authors/profile/6988065,Desain Komunikasi Visual (S1),6988065,0,0,1,1,1,1
PRITHA FITRIA NATASHA BEKTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6962506,Desain Komunikasi Visual (S1),6962506,0,1,1,2,1,2
ARIES SETIAWAN SATRIO NUGROHO,https://sinta.kemdiktisaintek.go.id/authors/profile/6988065,Desain Komunikasi Visual (S1),6988065,0,0,1,1,1,1
KEN KINANTI PURNAMASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5990453,Teknik Informatika (S1),5990453,1,0,0,100,0,100
DEASY PERMATASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5999425,Manajemen Informatika (D3),5999425,0,4,0,121,0,121
LINDA MEGA SILVIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6746292,Desain Komunikasi Visual (S1),6746292,0,0,0,3,0,3
RIFIATI SAFARIAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6006916,Teknik Perencanaan Wilayah Dan Kota (S1),6006916,1,1,0,55,0,55
DEDDY KURNIAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6035415,Unknown,6035415,0,1,0,4,0,4
ACHMAD DEPTIAN DJENUARI RIZKY,https://sinta.kemdiktisaintek.go.id/authors/profile/6987572,Desain Komunikasi Visual (S1),6987572,0,2,0,14,0,14
SUBARNA,https://sinta.kemdiktisaintek.go.id/authors/profile/6048499,Desain (S2),6048499,0,1,0,6,0,6
ANNISA SUCI RAMADANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6756099,Unknown,6756099,0,0,0,1,0,1
UTAMI DEWI WIDIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005151,Unknown,6005151,2,7,0,147,0,147
ARINITA SANDRIA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006394,Ilmu Hukum (S1),6006394,0,0,0,68,0,68
NANG PRIMADI TABRANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6048459,Unknown,6048459,0,11,0,133,0,133
